id,date_time,mc_code,buiding,auto_run,power_on,power_off,meeting,break_field,plan_stop,kpr_percent,yield_field,target_oee,one_day_time_on,available_time,percent_available,percent_performance,percent_oee,factory_utilize,percent_teep,process_group,is_check
37902939,2025-12-09 00:00:00,X-35-28,B2,1025,408,7,0,0,0,100.0,100.0,85.0,1440,1433,71.18056,100.0,71.18056,100.0,71.18056,ZPRN,False
37903298,2025-12-09 00:00:00.037000,X-35-28,B,965,410,66,0,0,0,100.0,100.0,85.0,1440,1374,67.013885,100.0,67.013885,100.0,67.013885,ZMOTU6,True
37902940,2025-12-09 00:00:00,X-35-29,A/2,1000,429,11,0,0,0,100.0,100.0,85.0,1440,1429,69.44444,100.0,69.44444,100.0,69.44444,ZPRN,False
37902823,2025-12-09 00:00:01.659000,X-35-30,A/2,815,614,11,0,0,0,100.0,100.0,85.0,1440,1429,56.59722,100.0,56.59722,100.0,56.59722,ZMOTD13,True
37902941,2025-12-09 00:00:00,X-35-31,A/2,0,1212,228,0,0,0,100.0,100.0,85.0,1440,1212,0.0,100.0,0.0,100.0,0.0,ZPRN,False
37902942,2025-12-09 00:00:00,X-35-32,A/2,0,1436,4,0,0,0,100.0,100.0,85.0,1440,1436,0.0,100.0,0.0,100.0,0.0,ZPRN,False
37902943,2025-12-09 00:00:00,X-35-33,C,0,1435,5,0,0,0,100.0,100.0,85.0,1440,1435,0.0,100.0,0.0,100.0,0.0,ZPRN,False
37905878,2025-12-09 00:00:00.019000,X-35-34,A/2,0,1421,19,0,0,0,100.0,100.0,85.0,1440,1421,0.0,100.0,0.0,100.0,0.0,ZMOTD17,True
37903081,2025-12-09 00:00:00.013000,X-35-36,B,995,0,445,0,0,0,100.0,100.0,85.0,1440,995,69.09722,100.0,69.09722,100.0,69.09722,ZMOTU5,True
37902944,2025-12-09 00:00:00,X-35-36,B2,1002,433,5,0,0,0,100.0,100.0,85.0,1440,1435,69.583336,100.0,69.583336,100.0,69.583336,ZPRN,False
37902945,2025-12-09 00:00:00,X-35-37,A/2,1057,379,4,0,0,0,100.0,100.0,85.0,1440,1436,73.40278,100.0,73.40278,100.0,73.40278,ZPRN,False
37902946,2025-12-09 00:00:00,X-35-39,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,ZPRN,False
37902819,2025-12-09 00:00:00.037000,X-36-28,B,1436,0,4,0,0,0,100.0,100.0,85.0,1440,1436,99.72222,100.0,99.72222,100.0,99.72222,ZMOTU6,True
37902820,2025-12-09 00:00:00.037000,X-36-37,B,1436,0,4,0,0,0,100.0,100.0,85.0,1440,1436,99.72222,100.0,99.72222,100.0,99.72222,ZMOTU5,True
37902861,2025-12-09 00:00:00,X-40-230,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,FI,False
